,ZIP Code,City,Population,Households,AVG Income
,90001,Los Angeles,"57,239","12,971","$33,887"
,90002,Los Angeles,"52,668","11,731","$30,413"
,90003,Los Angeles,"73,879","15,642","$30,805"
,90004,Los Angeles,"64,529","22,547","$40,612"
,90005,Los Angeles,"42,702","15,044","$31,142"
,90006,Los Angeles,"62,058","18,617","$31,521"
,90007,Los Angeles,"40,677","11,944","$22,304"
,90008,Los Angeles,"34,125","13,841","$36,564"
,90009,,,,
,90010,Los Angeles,"2,889","2,014","$45,786"
,90011,Los Angeles,"109,688","22,168","$30,251"
,90012,Los Angeles,"28,397","10,327","$31,576"
,90013,Los Angeles,"8,104","6,416","$19,887"
,90014,Los Angeles,"6,273","4,109","$23,642"
,90015,Los Angeles,"24,289","7,420","$29,684"
,90016,Los Angeles,"49,965","16,145","$38,330"
,90017,Los Angeles,"29,833","9,338","$22,754"
,90018,Los Angeles,"52,085","15,493","$33,864"
,90019,Los Angeles,"66,320","23,344","$46,571"
,90020,Los Angeles,"43,230","16,514","$38,849"
,90021,Los Angeles,"1,987","1,561","$12,813"
,90022,Los Angeles,"66,723","17,023","$37,916"
,90023,Los Angeles,"48,444","10,727","$35,736"
,90024,Los Angeles,"38,927","17,903","$57,202"
,90025,Los Angeles,"45,479","21,228","$71,183"
,90026,Los Angeles,"70,623","24,956","$47,993"
,90027,Los Angeles,"46,562","21,929","$51,595"
,90028,Los Angeles,"34,619","14,964","$33,582"
,90029,Los Angeles,"38,788","13,883","$33,912"
,90030,,,,
,90031,Los Angeles,"40,180","11,156","$34,994"
,90032,Los Angeles,"46,812","12,765","$45,457"
,90033,Los Angeles,"47,598","12,924","$27,622"
,90034,Los Angeles,"60,513","25,592","$58,004"
,90035,Los Angeles,"29,398","12,814","$73,794"
,90036,Los Angeles,"40,536","18,646","$69,894"
,90037,Los Angeles,"66,716","15,869","$27,179"
,90038,Los Angeles,"31,173","11,928","$33,800"
,90039,Los Angeles,"29,588","11,436","$70,560"
,90040,Los Angeles,"12,442","3,317","$44,964"
,90041,Los Angeles,"26,154","9,513","$63,358"
,90042,Los Angeles,"63,646","19,892","$49,630"
,90043,Los Angeles,"45,901","16,075","$38,180"
,90044,Los Angeles,"95,349","25,144","$29,206"
,90045,Los Angeles,"38,289","15,224","$75,684"
,90046,Los Angeles,"51,423","28,534","$57,941"
,90047,Los Angeles,"50,091","16,168","$39,269"
,90048,Los Angeles,"23,144","11,821","$78,940"
,90049,Los Angeles,"37,089","16,657","$115,629"
,90050,Los Angeles,,,
,90051,Los Angeles,,,
,90052,Los Angeles,,,
,90053,Los Angeles,,,
,90054,Los Angeles,,,
,90055,Los Angeles,,,
,90056,Los Angeles,"8,268","3,371","$84,099"
,90057,Los Angeles,"46,308","15,658","$27,890"
,90058,Los Angeles,"3,538",892,"$17,018"
,90059,Los Angeles,"42,231","9,596","$32,506"
,90060,Los Angeles,,,
,90061,Los Angeles,"29,059","6,892","$33,731"
,90062,Los Angeles,"33,384","9,155","$34,588"
,90063,Los Angeles,"54,964","13,260","$40,006"
,90064,Los Angeles,"27,054","10,968","$87,283"
,90065,Los Angeles,"47,146","14,476","$54,078"
,90066,Los Angeles,"57,985","23,985","$68,132"
,90067,Los Angeles,"3,028","1,510","$97,891"
,90068,Los Angeles,"24,710","12,326","$73,693"
,90069,West Hollywood,"22,478","13,364","$78,979"
,90070,Los Angeles,,,
,90071,Los Angeles,,,
,90072,Los Angeles,,,
,90073,Los Angeles,,,
,90074,Los Angeles,,,
,90075,Los Angeles,,,
,90076,Los Angeles,,,
,90077,Los Angeles,"10,015","9,377","$164,281"
,90078,Los Angeles,,,
,90079,Los Angeles,,,
,90080,Los Angeles,,,
,90081,Los Angeles,,,
,90082,Los Angeles,,,
,90083,Los Angeles,,,
,90084,Los Angeles,,,
,90086,Los Angeles,,,
,90087,Los Angeles,,,
,90088,Los Angeles,,,
,90089,Los Angeles,,,
,90090,Dodgertown,,,
,90091,Los Angeles,,,
,90093,Los Angeles,,,
,90094,Playa Vista,"10,199","2,949","$104,367"
,90095,Los Angeles,,,
,90096,Los Angeles,,,
,90099,Los Angeles,,,
,90189,Los Angeles,,,
,90201,Bell Gardesns,"102,128","24,104","$37,254"
,90202,Bell,,,
,90209,Beverly Hills,,,
,90210,Beverly Hills,"23,577","8,669","$145,227"
,90211,Beverly Hills,"9,156","3,706","$69,638"
,90212,Beverly Hills,"12,602","5,567","$92,476"
,90213,Beverly Hills,,,
,90220,Compton,"50,947","12,741","$47,882"
,90221,Compton,"53,971","11,630","$41,960"
,90222,Compton,"31,789","7,520","$37,881"
,90223,Compton,,,
,90224,Compton,,,
,90230,Culver City,"32,001","12,883","$74,823"
,90231,Culver City,,,
,90232,Culver City,"15,816","6,605","$77,004"
,90233,Culver City,,,
,90239,Downey,,,
,90240,Downey,"26,365","7,632","$76,907"
,90241,Downey,"44,619","13,617","$57,372"
,90242,Downey,"42,928","12,687","$58,669"
,90245,El Segundo,"17,133","7,085","$85,727"
,90247,Gardena,"49,204","15,830","$42,926"
,90248,Gardena,"10,421","3,427","$53,306"
,90249,Gardena,"26,894","8,880","$51,181"
,90250,Hawthorne,"99,213","31,087","$46,172"
,90251,Hawthorne,,,
,90254,Hermosa Beach,"20,310","9,550","$111,187"
,90255,Huntington Park,"74,699","18,419","$35,917"
,90260,Lawndale,"34,895","10,429","$51,648"
,90261,Lawndale,,,
,90262,Lynwood,"68,175","14,669","$43,231"
,90263,Malibu,,,
,90264,Malibu,,,
,90265,Malibu,"19,526","7,174","$123,681"
,90266,Manhattan Beach,"36,447","14,038","$143,527"
,90267,Manhattan Beach,,,
,90270,Maywood,"26,474","6,554","$35,532"
,90272,Pacific Palisades,"23,381","9,212","$166,021"
,90274,Palos Verdes Peninsula,"26,166","9,479","$157,465"
,90275,Rancho Palos Verdes,"42,983","15,618","$118,790"
,90277,Redondo Beach,"36,963","16,910","$100,080"
,90278,Redondo Beach,"41,423","16,009","$107,010"
,90280,South Gate,"97,090","23,278","$43,552"
,90290,Topanga,"5,797","2,612","$99,505"
,90291,Venice,"30,322","14,261","$80,111"
,90292,Marina Del Rey,"25,916","12,654","$100,507"
,90293,Playa Del Rey,"12,555","6,575","$82,055"
,90294,Venice,,,
,90295,Marina Del Rey,,,
,90296,Playa Del Rey,,,
,90301,Inglewood,"38,600","11,895","$37,424"
,90302,Inglewood,"30,923","10,684","$41,426"
,90303,Inglewood,"26,749","7,290","$39,671"
,90305,Inglewood,"15,010","5,933","$65,633"
,90306,Inglewood,,,
,90307,Inglewood,,,
,90308,Inglewood,,,
,90309,Inglewood,,,
,90310,Inglewood,,,
,90311,Inglewood,,,
,90312,Inglewood,,,
,90401,Santa Monica,"8,574","4,188","$62,703"
,90402,Santa Monica,"12,688","5,301","$134,638"
,90403,Santa Monica,"25,825","13,970","$78,151"
,90404,Santa Monica,"21,559","10,089","$66,623"
,90405,Santa Monica,"28,438","14,376","$77,948"
,90406,Santa Monica,,,
,90407,Santa Monica,,,
,90408,Santa Monica,,,
,90409,Santa Monica,,,
,90410,Santa Monica,,,
,90411,Santa Monica,,,
,90501,Torrance,"44,726","14,610","$61,536"
,90502,Torrance,"18,307","5,717","$64,232"
,90503,Torrance,"44,999","17,183","$76,431"
,90504,Torrance,"32,808","11,580","$73,380"
,90505,Torrance,"37,112","14,244","$86,588"
,90506,Torrance,,,
,90507,Torrance,,,
,90508,Torrance,,,
,90509,Torrance,,,
,90510,Torrance,,,
,90601,Whittier,"32,226","11,027","$71,366"
,90602,Whittier,"25,779","7,980","$48,109"
,90603,Whittier,"20,260","6,788","$88,862"
,90604,Whittier,"40,568","11,932","$65,295"
,90605,Whittier,"40,104","10,527","$65,952"
,90606,Whittier,"32,691","8,633","$64,393"
,90607,Whittier,,,
,90608,Whittier,,,
,90609,Whittier,,,
,90610,Whittier,,,
,90637,La Mirada,,,
,90638,La Mirada,"46,712","14,821","$78,373"
,90639,La Mirada,,,
,90640,Montebello,"63,997","19,027","$45,898"
,90650,Norwalk,"104,662","27,130","$59,756"
,90651,Norwalk,,,
,90652,Norwalk,,,
,90660,Pico Rivera,"61,639","16,564","$55,758"
,90661,Pico Rivera,,,
,90662,Pico Rivera,,,
,90670,Santa Fe Springs,"16,850","4,393","$54,674"
,90671,Santa Fe Springs,,,
,90701,Artesia,"16,124","4,553","$60,749"
,90702,Artesia,,,
,90703,Cerritos,"50,351","15,604","$89,720"
,90704,Avalon,,,
,90706,Bellflower,"78,606","23,650","$48,823"
,90707,Bellflower,,,
,90710,Harbor City,"25,965","8,717","$52,294"
,90711,Lakewood,,,
,90712,Lakewood,"31,809","10,794","$80,150"
,90713,Lakewood,"28,765","9,447","$86,543"
,90714,Lakewood,,,
,90715,Lakewood,"21,278","6,105","$63,604"
,90716,Hawaiian Gardens,"14,499","3,515","$37,543"
,90723,Paramount,"55,282","13,882","$45,792"
,90731,San Pedro,"61,025","22,044","$50,879"
,90732,San Pedro,"20,872","8,611","$84,679"
,90733,San Pedro,,,
,90734,San Pedro,,,
,90744,Wilmington,"54,363","13,999","$41,569"
,90745,Carson,"59,739","15,210","$71,443"
,90746,Carson,"26,071","8,050","$77,260"
,90747,Carson,,,
,90748,Wilmington,,,
,90749,Carson,,,
,90755,Signal Hill,"11,803","4,172","$65,935"
,90801,Long Beach,,,
,90802,Long Beach,"43,590","19,853","$42,829"
,90803,Long Beach,"33,252","17,318","$75,197"
,90804,Long Beach,"41,561","14,556","$44,877"
,90805,Long Beach,"96,276","26,056","$44,815"
,90806,Long Beach,"43,987","12,184","$44,144"
,90807,Long Beach,"31,446","12,452","$72,010"
,90808,Long Beach,"38,986","14,167","$96,360"
,90809,Long Beach,,,
,90810,Long Beach,"38,598","9,289","$49,517"
,90813,Long Beach,"63,654","16,425","$30,936"
,90814,Long Beach,"19,576","9,170","$55,116"
,90815,Long Beach,"38,982","14,836","$78,137"
,90822,Long Beach,,,
,90831,Long Beach,,,
,90832,Long Beach,,,
,90833,Long Beach,,,
,90834,Long Beach,,,
,90835,Long Beach,,,
,90840,Long Beach,,,
,90842,Long Beach,,,
,90844,Long Beach,,,
,90846,Long Beach,,,
,90847,Long Beach,,,
,90848,Long Beach,,,
,90849,Long Beach,,,
,90850,Long Beach,,,
,90851,Long Beach,,,
,90852,Long Beach,,,
,90853,Long Beach,,,
,90895,Carson,,,
,90899,Long Beach,,,
,91001,Altadena,"36,362","12,663","$86,310"
,91003,Altadena,,,
,91006,Arcadia,"32,422","10,652","$83,986"
,91007,Arcadia,"32,118","12,033","$71,557"
,91008,Duarte,"1,037",562,"$90,000"
,91009,Duarte,,,
,91010,Duarte,"25,859","7,972","$60,793"
,91011,La Canada Flintridge,"20,765","6,859","$156,933"
,91012,La Canada Flintridge,,,
,91016,Monrovia,"41,993","15,029","$70,307"
,91017,Monrovia,,,
,91020,Montrose,"7,999","3,385","$69,067"
,91021,Montrose,,,
,91023,Mount Wilson,,,
,91024,Sierra Madre,"11,121","4,837","$92,384"
,91025,Sierra Madre,,,
,91030,South Pasadena,"26,112","10,466","$79,089"
,91031,South Pasadena,,,
,91040,Sunland,"21,050","7,359","$71,411"
,91041,Sunland,,,
,91042,Tujunga,"28,079","9,987","$58,020"
,91043,Tujunga,,,
,91046,Verdugo City,,,
,91066,Arcadia,,,
,91077,Arcadia,,,
,91101,Pasadena,"20,326","10,869","$61,180"
,91102,Pasadena,,,
,91103,Pasadena,"27,340","8,492","$62,037"
,91104,Pasadena,"37,178","12,922","$71,429"
,91106,Pasadena,"24,785","10,723","$74,756"
,91107,Pasadena,"33,829","13,028","$83,904"
,91108,San Marino,"13,623","4,415","$134,286"
,91109,Pasadena,,,
,91110,Pasadena,,,
,91114,Pasadena,,,
,91115,Pasadena,,,
,91116,Pasadena,,,
,91117,Pasadena,,,
,91118,San Marino,,,
,91121,Pasadena,,,
,91123,Pasadena,,,
,91124,Pasadena,,,
,91125,Pasadena,,,
,91126,Pasadena,,,
,91129,Pasadena,,,
,91182,Pasadena,,,
,91184,Pasadena,,,
,91185,Pasadena,,,
,91188,Pasadena,,,
,91189,Pasadena,,,
,91199,Pasadena,,,
,91201,Glendale,"23,727","8,150","$49,215"
,91202,Glendale,"23,388","8,879","$63,037"
,91203,Glendale,"17,629","5,044","$41,400"
,91204,Glendale,"17,095","5,639","$42,277"
,91205,Glendale,"39,847","14,089","$36,971"
,91206,Glendale,"33,586","13,261","$52,277"
,91207,Glendale,"10,726","4,097","$89,333"
,91208,Glendale,"16,827","6,106","$103,860"
,91209,Glendale,,,
,91210,Glendale,616,178,"$158,162"
,91214,La Crescenta,"31,041","10,551","$87,612"
,91221,Glendale,,,
,91222,Glendale,,,
,91224,La Crescenta,,,
,91225,Glendale,,,
,91226,Glendale,,,
,91301,Agoura Hills,"26,302","9,208","$114,417"
,91302,Calabasas,"26,799","9,303","$114,688"
,91303,Canoga Park,"30,073","8,697","$45,793"
,91304,Canoga Park,"52,059","16,532","$61,339"
,91305,Canoga Park,,,
,91306,Winnetka,"46,792","13,635","$61,529"
,91307,West Hills,"24,714","8,315","$100,075"
,91308,West Hills,,,
,91309,Canoga Park,,,
,91310,Castaic,,,
,91311,Chatsworth,"37,208","13,425","$80,593"
,91313,Chatsworth,,,
,91316,Encino,"28,763","11,911","$61,539"
,91321,Newhall,"34,382","11,215","$59,549"
,91322,Newhall,,,
,91324,Northridge,"28,998","9,289","$61,958"
,91325,Northridge,"33,094","11,825","$60,774"
,91326,Porter Ranch,"36,493","11,770","$101,073"
,91327,Northridge,,,
,91328,Northridge,,,
,91329,Northridge,,,
,91330,Northridge,,,
,91331,Pacoima,"96,048","22,465","$51,986"
,91333,Pacoima,,,
,91334,Pacoima,,,
,91335,Pacoima,"75,107","22,855","$51,206"
,91337,Reseda,,,
,91340,San Fernando,"33,510","8,176","$54,182"
,91341,San Fernando,,,
,91342,Sylmar,"92,716","23,543","$60,361"
,91343,North Hills,"62,465","16,802","$55,956"
,91344,Granada Hills,"51,643","16,872","$79,680"
,91345,Mission Hills,"18,328","5,192","$61,728"
,91346,Mission Hills,,,
,91351,Canyon Country,"33,488","10,036","$68,197"
,91352,Sun Valley,"47,364","11,985","$51,154"
,91353,Sun Valley,,,
,91354,Valencia,"32,766","9,522","$112,524"
,91355,Valencia,"32,484","12,772","$88,861"
,91356,Tarzana,"29,905","11,686","$68,078"
,91357,Tarzana,,,
,91364,Woodland Hills,"25,952","10,409","$92,830"
,91365,Woodland Hills,,,
,91367,Woodland Hills,"44,386","16,697","$80,083"
,91371,Woodland Hills,,,
,91372,Calabasas,,,
,91376,Agoura Hills,,,
,91380,Santa Clarita,,,
,91381,Stevenson Ranch,"20,988","6,636","$114,610"
,91382,Santa Clarita,,,
,91383,Santa Clarita,,,
,91384,Castaic,"23,327","6,925","$101,505"
,91385,Valencia,,,
,91386,Canyon Country,,,
,91387,Canyon Country,"45,532","12,871","$82,745"
,91390,Santa Clarita,"19,899","6,369","$106,374"
,91392,Sylmar,,,
,91393,North Hills,,,
,91394,Granada Hills,,,
,91395,Mission Hills,,,
,91396,Winnetka,,,
,91401,Van Nuys,"40,275","14,380","$50,418"
,91402,Panorama City,"72,470","18,194","$37,190"
,91403,Sherman Oaks,"25,055","11,358","$80,890"
,91404,Van Nuys,,,
,91405,Van Nuys,"55,295","16,256","$39,013"
,91406,Van Nuys,"55,456","17,042","$49,835"
,91407,Van Nuys,,,
,91408,Van Nuys,,,
,91409,Van Nuys,,,
,91410,Van Nuys,,,
,91411,Van Nuys,"24,766","9,177","$45,667"
,91412,Panorama City,,,
,91413,Sherman Oaks,,,
,91416,Encino,,,
,91423,Sherman Oaks,"32,111","14,876","$79,028"
,91426,Encino,,,
,91436,Encino,"15,109","5,552","$135,585"
